OTU	Size	Taxonomy
Otu0054	707	k__Fungi(100);k__Fungi_unclassified(97);k__Fungi_unclassified(97);k__Fungi_unclassified(97);k__Fungi_unclassified(97);k__Fungi_unclassified(97);k__Fungi_unclassified(97);k__Fungi_unclassified(97);
Otu0055	699	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(99);o__Thelebolales(99);f__Pseudeurotiaceae(99);g__Pseudogymnoascus(99);g__Pseudogymnoascus_unclassified(63);g__Pseudogymnoascus_unclassified(63);
Otu0056	672	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Amphisphaeriaceae(100);g__Seimatosporium(97);s__Seimatosporium_sp(53);Seimatosporium(53);
Otu0057	664	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Periconiaceae(100);g__Periconia(100);g__Periconia_unclassified(91);g__Periconia_unclassified(91);
Otu0058	663	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Polyporales(100);f__Fomitopsidaceae(100);g__Fomitopsis(100);s__Fomitopsis_pinicola(100);Fomitopsis_pinicola(100);
Otu0059	658	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Cordycipitaceae(100);g__Beauveria(100);s__Beauveria_pseudobassiana(91);Beauveria_pseudobassiana(91);
Otu0060	646	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);p__Ascomycota_unclassified(100);
Otu0061	636	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(100);g__Genolevuria(100);s__Genolevuria_sp(100);Genolevuria(100);
Otu0062	630	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Polyporales(100);f__Cerrenaceae(100);g__Cerrena(100);s__Cerrena_unicolor(100);Cerrena_unicolor(100);
Otu0063	596	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Cystofilobasidiales(100);f__Mrakiaceae(100);g__Tausonia(100);s__Tausonia_pullulans(92);Tausonia_pullulans(92);
Otu0064	590	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Cladosporiaceae(100);g__Rachicladosporium(100);s__Rachicladosporium_sp(85);Rachicladosporium(85);
Otu0065	586	k__Fungi(100);p__Ascomycota(100);c__Lecanoromycetes(100);o__Lecanorales(100);f__Lecanoraceae(100);g__Scoliciosporum(100);s__Scoliciosporum_sp(100);Scoliciosporum(100);
Otu0066	586	k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(73);p__Ascomycota_unclassified(73);p__Ascomycota_unclassified(73);p__Ascomycota_unclassified(73);p__Ascomycota_unclassified(73);p__Ascomycota_unclassified(73);
Otu0067	578	k__Fungi(100);p__Ascomycota(100);c__Taphrinomycetes(100);o__Taphrinales(100);f__Taphrinaceae(100);g__Taphrina(100);s__Taphrina_nana(100);Taphrina_nana(100);
Otu0068	567	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Dothideaceae(98);g__Dothidea(91);s__Dothidea_sp(90);Dothidea(90);
Otu0069	562	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Dothideales(100);f__Dothioraceae(100);g__Perusta(100);s__Perusta_sp(97);Perusta(97);
Otu0070	558	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleribasidiaceae(100);g__Vishniacozyma(100);s__Vishniacozyma_tephrensis(100);Vishniacozyma_tephrensis(100);
