OTU	Size	Taxonomy
Otu0114	248	Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu0115	239	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Acetobacterales(100);Acetobacteraceae(100);Acetobacteraceae_unclassified(100);
Otu0116	231	Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Kineosporiales(97);Kineosporiaceae(97);Kineosporiaceae_unclassified(75);
Otu0117	227	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(98);
Otu0118	223	Bacteria(100);Acidobacteriota(100);Acidobacteriae(100);Acidobacteriales(100);Acidobacteriaceae_(Subgroup_1)(100);Acidipila(100);
Otu0119	220	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(91);Burkholderiaceae_unclassified(90);
Otu0120	218	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Burkholderiaceae_unclassified(100);
Otu0121	216	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu0122	215	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(93);
Otu0123	212	Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Microbacteriaceae(99);Microbacteriaceae_unclassified(99);
Otu0124	210	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Spirosomaceae(100);Spirosomaceae_unclassified(100);
Otu0125	210	Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidia_unclassified(71);Bacteroidia_unclassified(71);Bacteroidia_unclassified(71);
Otu0126	205	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(66);
